Term,Frequency,URI,broader,broader label,broader,broader label,broader,broader label,broader,broader label,related,related label
Median Time to Fibrinolysis,4088,http://purl.org/twc/health/vocab/Median_Time_to_Fibrinolysis,http://purl.bioontology.org/ontology/SNOMEDCT/59141009,Fibrinolysis,,,,,,,,
Median Time to Transfer to Another Facility for Acute Coronary Intervention,4088,http://purl.org/twc/health/vocab/Median_Time_to_Transfer_to_Another_Facility_for_Acute_Coronary_Intervention,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,,,,,,,,
Pneumococcal vaccination,4727,http://purl.bioontology.org/ontology/SNOMEDCT/147575001,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,,,,,,,,
Postoperative Urinary Catheter Removal,4727,http://purl.org/twc/health/vocab/Postoperative_Urinary_Catheter_Removal,http://purl.bioontology.org/ontology/SNOMEDCT/59141009,Postoperative period,http://purl.bioontology.org/ontology/SNOMEDCT/20568009,Urinary catheter,http://purl.bioontology.org/ontology/SNOMEDCT/315350008,Removal - procedure,,,,
Primary PCI Received Within 90 Minutes of Hospital Arrival,4727,http://purl.org/twc/health/vocab/Primary_PCI_Received_Within_90_Minutes_of_Hospital_Arrival,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,http://purl.bioontology.org/ontology/SNOMEDCT/32485007,Hospital admission,,,,,,
Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,4088,http://purl.org/twc/health/vocab/Prophylactic_Antibiotic_Initiated_Within_One_Hour_Prior_to_Surgical_Incision,http://purl.bioontology.org/ontology/SNOMEDCT/422181004,Antibiotic prophylaxis,http://purl.bioontology.org/ontology/SNOMEDCT/257556004,Surgery,,,,,,
Prophylactic antibiotic received within 1 hour prior to surgical incision,4727,http://purl.org/twc/health/vocab/Prophylactic_Antibiotic_Initiated_Within_One_Hour_Prior_to_Surgical_Incision,http://purl.bioontology.org/ontology/SNOMEDCT/422181004,Antibiotic prophylaxis,http://purl.bioontology.org/ontology/SNOMEDCT/257556004,Surgery,,,,,,
Prophylactic Antibiotic Selection for Surgical Patients,8815,http://purl.org/twc/health/vocab/Prophylactic_Antibiotic_Selection_for_Surgical_Patients,http://purl.bioontology.org/ontology/SNOMEDCT/422181004,Antibiotic prophylaxis,http://purl.bioontology.org/ontology/SNOMEDCT/257556004,Surgery,,,,,,
Prophylactic antibiotics discontinued within 24 hours after surgery end time,4727,http://purl.org/twc/health/vocab/Prophylactic_antibiotics_discontinued_within_24_hours_after_surgery_end_time,http://purl.bioontology.org/ontology/SNOMEDCT/422181004,Antibiotic prophylaxis,http://purl.bioontology.org/ontology/SNOMEDCT/257556004,Surgery,,,,,,
Relievers for Inpatient Asthma,112,http://purl.org/twc/health/vocab/Relievers_for_Inpatient_Asthma,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,http://purl.bioontology.org/ontology/SNOMEDCT/195967001,Asthma,,,,,,
Statin at Discharge,4598,http://purl.org/twc/health/vocab/Statin_at_Discharge,http://purl.bioontology.org/ontology/SNOMEDCT/33633005,Prescription of drug,http://purl.bioontology.org/ontology/SNOMEDCT/129274004,Discharge - action,,,,,,
Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,4727,http://purl.org/twc/health/vocab/Surgery_Patients_on_a_Beta_Blocker_Prior_to_Arrival_Who_Received_a_Beta_Blocker_During_the_Perioperative_Period,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,http://purl.bioontology.org/ontology/SNOMEDCT/257556004,Surgery,,,,,,
Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery,4727,http://purl.org/twc/health/vocab/Surgery_Patients_Who_Received_Appropriate_Venous_Thromboembolism_Prophylaxis_Within_24_Hours_Prior_to_Surgery_to_24_Hours_After_Surgery,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,http://purl.bioontology.org/ontology/SNOMEDCT/257556004,Surgery,,,,,,
Surgery Patients with Appropriate Hair Removal,4727,http://purl.org/twc/health/vocab/Surgery_Patients_with_Appropriate_Hair_Removal,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,http://purl.bioontology.org/ontology/SNOMEDCT/257556004,Surgery,,,,,,
Surgery Patients with Perioperative Temperature Management,4598,http://purl.org/twc/health/vocab/Surgery_Patients_with_Perioperative_Temperature_Management,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,http://purl.bioontology.org/ontology/SNOMEDCT/257556004,Surgery,,,,,,
Surgery Patients with Recommended Venous Thromboembolism Prophylaxis Ordered,4727,http://purl.org/twc/health/vocab/Surgery_Patients_with_Recommended_Venous_Thromboembolism_Prophylaxis_Ordered,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,http://purl.bioontology.org/ontology/SNOMEDCT/257556004,Surgery,,,,,,
Systemic Corticosteroids for Inpatient Asthma,112,http://purl.org/twc/health/vocab/Systemic_Corticosteroids_for_Inpatient_Asthma,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,,,,,,,,
